,Songs,Listeners,Playcount,Duration,Tags
17,Golden Dunes,13759,46085,198000,"[u'silver apples moon', u'rock', u'funk', u'afrobeat', u'indie', u'instrumental', u'organ', u'percussion', u'brass', u'Funk Rock', u'secretagent', u'somafm', u'The Budos Band']"
18,Golden Dunes,13759,46085,198000,"[u'silver apples moon', u'rock', u'funk', u'afrobeat', u'indie', u'instrumental', u'organ', u'percussion', u'brass', u'Funk Rock', u'secretagent', u'somafm', u'The Budos Band']"
19,Budos Rising,22943,89860,289000,"[u'funk', u'afrobeat', u'jazz', u'instrumental', u'acid jazz', u'The Budos Band', u'groove', u'2007', u'somafm', u'The Budos Band II 2007', u'indie', u'rock', u'heavy', u'world', u'organ', u'horns', u'3', u'funky', u'breakbeat', u'daptone', u'percussion', u'fip', u'band', u'brass', u'underrated', u'00s', u'woxy', u'Funk Rock', u'secretagent', u'sultry', u'spy', u'deep funk', u'deep funk revival', u'Jazz  Funk', u'cooper was here', u'trackmania', u'TP', u'ronxi', u'tiffburns', u'7soul', u'a7', u'budos rising', u'Bodus Rising']"
20,Supernaut,212347,955144,283000,"[u'heavy metal', u'hard rock', u'classic rock', u'metal', u'70s', u'Black Sabbath', u'rock', u'Stoner Rock', u'doom metal', u'classic metal', u'british', u'Psychedelic Rock', u'heavy', u'1972', u'Traditional Doom Metal', u'Killer riff', u'sufu5a', u'classic', u'Awesome', u'guitar', u'stoner metal', u'drugs', u'1970s', u'riff', u'good drums', u'ozzy', u'classic heavy metal', u'70s metal', u'Supernaut', u'Progressive metal', u'psychedelic', u'groove', u'birmingham', u'Acid Rock', u'NWOBHM', u'Tag', u'awesome vocals', u'brass balls', u""70's"", u'sabbath', u'Tony Iommi', u'70s heavy metal', u'british hard rock', u'classic british heavy metal', u'Porieux-loved', u'Metal Pioneers', u'70s british heavy metal', u'Classic British Metal', u'slgdm', u'4u']"
21,Dies Irae pt.13,8,9,0,[]
22,Gypsy Bitch,2742,11682,280000,"[u'bluegrass', u'fuck you bitch', u'flick the chick', u'Colleen Duffy', u'cheating at solitaire']"
23,If I Died in Your Arms,3799,16965,447000,"[u'jazz', u'rockabilly', u'swing', u'rock', u'female vocalists', u'vocal jazz', u'blues', u'psychobilly', u'female vocalist', u'Ballad', u'female vocal', u'Vixen', u'chambre meublee', u'salon', u'red is darker than green at night bastardo beloved', u'acceptable ladies', u'vaudeville loincloth saloon', u'wow bob wow', u'elite ballads', u'warm voices', u'who-says-theres-no-romance', u'chilling-and-thinking-baby', u'this-sadness-is-the-pureness-of-your-heart']"
24,Billie Jean,1063513,6369088,284000,"[u'pop', u'80s', u'michael jackson', u'dance', u'Disco', u'funk', u'billie jean', u'king of pop', u'soul', u'male vocalists', u'rock', u'classic', u'rnb', u'american', u'favorites', u'legend', u'80s Pop', u'oldies', u'party', u'Awesome', u'thriller', u'1983', u'Jackson', u'mj', u'motown', u'1982', u'favorite songs', u'funky', u'r&b', u'dance pop', u'Michael Jackson - billie jean', u'classic rock', u'groovy', u'male vocalist', u'USA', u'pop rock', u'Favourites', u'best songs ever', u'electronic', u'catchy', u'90s', u'classics', u'dance-pop', u""80's"", u'Michael', u'singer-songwriter', u'Love', u'fun', u'cool', u'danceable']"
25,Candela,194612,757532,329000,"[u'latin', u'cuban', u'jazz', u'world', u'cuba', u'buena vista social club', u'latin jazz', u'salsa', u'spanish', u'son cubano', u'son', u'Soundtrack', u'90s', u'folk', u'latino', u'Afro-Cuban', u'descarga', u'World Music', u'bolero', u'guajira', u'candela', u'Criolla', u'cubana', u'male vocalists', u'1999', u'Gottolistenthisagain', u'cuban folk', u'hopuke42', u'pivudo45', u'Bossa Nova', u'favorite songs', u'favorites', u'espa\xf1ol', u'Mellow', u'party', u'heard on Pandora', u'male vocalist', u'trova', u'Espanol', u'relax', u'sunny', u'hispanic', u'Pure Beauty', u'cuban music', u'buena', u'cuba my love', u'here comes the summer', u'aycaramba', u'yeeah', u'pop']"
26,Hasta Siempre Comandante Che Guevara,12774,63377,0,"[u'cuban', u'latin', u'political', u'latin jazz', u'Che Guevara', u'world', u'revolution', u'favourite', u'melancholic', u'buena vista social club', u'My Favorites', u'Pathetic', u'cuba feeling', u'redder than red', u'naknak', u'Hasta siempre comandante Che Guevara']"
27,siempre en mi corazon,326,1089,0,[u'latin music']
28,Chan Chan,361518,1965860,258000,"[u'latin', u'cuban', u'jazz', u'buena vista social club', u'cuba', u'world', u'latin jazz', u'spanish', u'chillout', u'salsa', u'folk', u'acoustic', u'chill', u'Chan chan', u'90s', u'World Music', u'latino', u'son cubano', u'Soundtrack', u'favorites', u'son', u'buena vista', u'beautiful', u'Mellow', u'summer', u'cuban music', u'Love', u'bolero', u'descarga', u'guajira', u'Criolla', u'Afro-Cuban', u'sexy', u'trumpet', u'Sommer', u'Bossa Nova', u'dance', u'party', u'chilled', u'jazzy', u'Havana', u'cubana', u'rock', u'ambient', u'memories', u'happy', u'ethnic', u'oldies', u'melancholic', u'relaxing']"
