,Songs,Listeners,Playcount,Duration,Tags
0,Tock's Taunt - Loke's Treachery Part II,20081,111885,358000,"[u'Awesome', u'viking metal', u'Melodic Death Metal', u'death metal']"
1,War of the Gods,71502,620474,273000,"[u'Melodic Death Metal', u'viking metal', u'death metal', u'metal', u'swedish', u'Awesome', u'Viking Death Metal', u'burst a blood vessel listening to it', u'the song used for the fight between rambo and walker texas ranger', u'6 of 10 stars', u'shit so heavy that it broke the toilet', u'Punch it Chewie', u'heavy metal', u'Female fronted metal', u'epic', u'hair metal', u'good shit', u'love at first listen', u'Extreme Metal', u'Perfection', u'FUCKING AWESOME', u'heard live', u'10 of 10 stars', u'Swedish Metal', u'Immortal', u'Extreme Power Metal', u'battle metal', u'Officially NOT shit', u'northern metal', u'awesome voice', u'pretty rock boys', u'brainbanging', u'Kicked My Nuts', u'happy hippo cover death metal', u'not viking metal', u'more viking than erik the fucking viking', u'gets me in the mood to par-tee down', u'the one who tagged this black metal is an idiot', u'where the hell am I', u'the guy to the left is fat', u'shit my pants listening to this', u'UnMelodic Death Metal', u'DOG EAT MY POTATOCHIPS FUCKING HELL', u'bibzoom - sweden rock festival 2013']"
2,Once Sealed in Blood,78551,445204,288000,"[u'Melodic Death Metal', u'viking metal', u'death metal', u'metal', u'Viking Death Metal', u'swedish', u'Swedish Metal', u'scandinavian metal', u'amon amarth', u'seen live', u'scandinavian', u'death', u'Sweden', u'I love this song', u'melodic death', u'Viking', u'black metal', u'favorites', u'modern', u'Awesome', u'good', u'great lyrics', u'fav', u'melodic metal', u'english lyrics', u'6 of 10 stars', u'swedish artist', u'favs', u'blood', u'5 of 10 stars', u'9 lbs hammer', u'modern death metal', u'melo death', u'melodeath', u'music that makes your head explode of amazement', u'amazingness', u'Ruojis arvostaa', u'so good', u'skandinavian', u'headbangers ball', u'Fucking Heavy', u'querbeet3', u'makes me want to fight in an epic battle with some epic vikings', u'powerdrone', u'makes me want to fight', u'watn geiles riff', u'Black or Death', u'solo lo mejor', u'moo metal', u'amon amarth - once sealed in blood']"
3,Arson,78609,452797,405000,"[u'Melodic Death Metal', u'viking metal', u'death metal', u'metal', u'Swedish Metal', u'Viking Death Metal', u'scandinavian', u'swedish', u'folk metal', u'pagan metal', u'seen live', u'doom metal', u'epic', u'Sweden', u'amon amarth', u'garten metal', u'heavy metal', u'melodic', u'death', u'thrash metal', u'Gothic Metal', u'great lyrics', u'symphonic metal', u'Power metal', u'FUCKING AWESOME', u'7 of 10 stars', u'6 of 10 stars', u'swedish artist', u'Brutal Death Metal', u'melodic black metal', u'melodic death', u'9 lbs hammer', u'skandinavian', u'headbangers ball', u'mk-79s finest metal', u'querbeet3', u'Awesome Songs That Are Over 7 Minutes Long', u'meleodic death metal', u'Kamen', u'amonamarth', u'Viking Melodeath', u'bommi33']"
4,Beheading of A King,20594,123019,0,"[u'viking metal', u'Melodic Death Metal', u'death metal', u'metal', u'favourite', u'Sweden', u'amon amarth', u'vicking metal']"
5,The Valkyries Ride,17391,99280,0,"[u'viking metal', u'Melodic Death Metal', u'death metal', u'Viking Death Metal', u'pagan metal', u'Swedish Metal', u'amazing energy', u'metal', u'swedish', u'melodeath']"
6,Pursuit of Vikings,44255,373773,0,"[u'viking metal', u'Melodic Death Metal', u'death metal', u'Viking Death Metal', u'metal', u'Viking', u'amon amarth', u'black metal', u'headbanging', u'Extreme', u'seen live', u'swedish', u'Sweden', u'vikings', u'Norse', u'viking melodic death metal', u'hard rock', u'pain', u'awesome and heavy', u'Kicks ass', u'skandinavian', u'killer riffs part1', u'melodic death viking metal', u'beautiful', u'Brooklyn', u'favourite', u'live', u'best', u'Favourites', u'melodic metal', u'anthem', u'Swedish Metal', u'Legendary', u'Swedish Death Metal', u'My Favorites', u'Pure Fucking Metal', u'fon', u'great track', u'my stuff', u'szwecja', u'melo death metal', u'more viking than erik the fucking viking', u'black hearted', u'the perfect ones', u'Death Black Viking etc', u'canavar gibi', u'true metal gods', u'watn geiler refrain', u'voll in die fresse', u'watn geiles riff']"
7,The Fate of Norns,72318,516425,358000,"[u'viking metal', u'Melodic Death Metal', u'death metal', u'metal', u'Viking Death Metal', u'swedish', u'Viking', u'FUCKING AWESOME', u'amon amarth', u'seen live', u'favorites', u'pagan metal', u'folk metal', u'depressing', u'kick ass song', u'black metal', u'sad', u'death', u'melancholic', u'heard on Pandora', u'great lyrics', u'Sweden', u'Swedish Metal', u'Death Doom Metal', u'Melodic Death Doom Metal', u'PERFEKT', u'omg', u'beautiful', u'Awesome', u'amazing', u'Gothic Metal', u'dark ambient', u'Extreme Metal', u'melodic metal', u'deep lyrics', u'6 of 10 stars', u'swedish artist', u'memory', u'best song in the world', u'geil', u'9 lbs hammer', u'Norse', u'Death Black Metal', u'Awesome Drums', u'gives me goosebumps', u'headbangers ball', u'Melodisch', u'past and present loved songs', u'Favourite metal songs', u'Amon Amarths finest']"
8,Where Death Seems to Dwell,85065,471793,295000,"[u'Melodic Death Metal', u'death metal', u'viking metal', u'metal', u'Viking Death Metal', u'swedish', u'amon amarth', u'melodic metal', u'Where death seems to dwell', u'favorites', u'omg', u'folk metal', u'atmospheric', u'great lyrics', u'6 of 10 stars', u'Swedish Metal', u'black metal', u'seen live', u'epic', u'death', u'download', u'great', u'Favorite', u'children of bodom', u'Masterpiece', u'favorite tracks', u'swedish artist', u'cryptic', u'true metal', u'melodic death', u'9 lbs hammer', u'Viking', u'5-star', u'garten metal', u'skandinavian', u'ddd', u'headbangers ball', u'true death metal', u'true metal gods', u'smagaki', u'Nord metal', u'schwedendeath', u'Absolut Geiler Song', u'hell angels']"
9,An Ancient Sign of Coming Storm,94284,614230,279000,"[u'Melodic Death Metal', u'viking metal', u'death metal', u'metal', u'Viking Death Metal', u'amon amarth', u'Swedish Metal', u'deathmetal', u'swedish', u'melodic metal', u'Viking', u'heavy metal', u'favorites', u'John Peel', u'Nu Metal', u'must listen', u'seen live three times', u'gothenburg metal', u'good music', u'Kicks ass', u'Melodic Viking Death Metal', u'garten metal', u'Melo-Death', u'me like', u'to volim jako', u'Viking Melodic Death', u'an ancient sign of coming storm', u'Melo Death Meatl', u'mmm swedes', u'Crybs symphony', u'seen live', u'reggae', u'epic', u'heard on Pandora', u'Sweden', u'8 of 10 stars', u'9 of 10 stars', u'epic metal', u'pagan metal', u'Fuck yes', u'6 of 10 stars', u'swedish artist', u'melodic death', u'9 lbs hammer', u'Officially NOT shit', u'i just roffled my waffles', u'music that makes your head explode of amazement', u'stormy', u'wacken', u'skandinavian']"
