,Songs,Listeners,Playcount,Duration,Tags
0,Efterglod,2788,6532,440000,[]
1,Heretoir,8429,37240,625000,"[u'shoegaze black metal', u'atmospheric black metal', u'Post-Black Metal', u'black metal shoegaze', u'Z3PO like this']"
2,Graue Bauten,10850,58076,368000,"[u'black metal', u'Awesome', u'atmospheric', u'melancholic', u'atmospheric black metal', u'depressive black metal', u'DSBM', u'Post-Black Metal', u'blackgaze', u'cut yourself', u'black metal shoegaze', u'songs to play after you sit for an hour waiting for a bus']"
3,The Escape - Part I,8915,36479,100000,"[u'black metal', u'ambient black metal', u'shoegaze', u'black metal shoegaze']"
4,Weltschmerz,9338,42796,476000,"[u'depressive black metal', u'atmospheric black metal', u'black metal shoegaze']"
5,To Follow The Sun,8916,41238,427000,"[u'beautiful', u'depressive black metal', u'Makes me dream', u'black metal shoegaze', u'tracks on replay', u'songs to play after you sit for an hour waiting for a bus']"
6,Just For A Moment,1086,4981,415000,[]
7,Fatigue,12773,55389,437000,"[u'Post-Black Metal', u'melancholic', u'depressive black metal', u'blackgaze', u'shoegaze', u'german', u'Suicidal Black Metal', u'Post-Metal', u'black metal shoegaze', u'songs to play after you sit for an hour waiting for a bus', u'melancholic depressive post-black metal']"
8,Retreat to Hibernate,12389,57408,400000,"[u'melancholic', u'post-rock', u'blackgaze', u'to bot or not to bot', u'Love', u'dark', u'acoustic', u'beautiful', u'atmospheric', u'Favourites', u'Post-Black', u'shoegaze black metal', u'6 of 10 stars', u'acoustic guitar', u'utopia', u'atmospheric black metal', u'depressive black metal', u'depressive', u'Makes me dream', u'black metal shoegaze', u'Z3PO like this', u'tracks on replay']"
9,Caradhras,16682,117705,572000,"[u'atmospheric black metal', u'epic black metal', u'black metal', u'metal', u'folk metal', u'Symphonic Black Metal', u'my all time favorites', u'songs to play after you sit for an hour waiting for a bus', u'heavy mithral', u'zdobywam gory i doliny z moim papierowym mieczem']"
10,Lugburz,30002,162356,434000,"[u'atmospheric black metal', u'epic black metal', u'black metal', u'Symphonic Black Metal', u'epic', u'epic metal', u'tolkien metal', u'fantasy black metal', u'metal', u'90s', u'atmospheric', u'fantasy metal', u'fantasy', u'melodic black metal', u'Atmospheric metal', u'Tolkien', u'EPIC WIN', u'tolkien black metal', u'epic-atmospheric black metal', u'ambient', u'Epic Atmospheric Black Metal', u'epic atmospheric metal', u'epic black', u'amazing', u'eerie', u'heard on Pandora', u'symphonic', u'symphonic metal', u'Masterpiece', u'1990s', u'1995', u'ambient black metal', u'best of 1990s', u'best of 90s', u'spirit', u'symphonic black', u'austrian black metal', u'medieval black metal', u'second wave black metal', u'wrath666', u'so fucking epic', u'atmospheric epic black metal', u'wiking pagan metal', u'lame shit', u'Die Verbannten Kinder Evas', u'apogenum']"
11,The White Tower,17701,119644,575000,"[u'Symphonic Black Metal', u'atmospheric black metal', u'epic black metal', u'black metal', u'metal', u'youtube', u'majestic', u'austrian', u'2013', u'tolkien metal', u'my all time favorites', u'songs to play after you sit for an hour waiting for a bus', u'my classic all-time favoite', u'strange and curious']"
12,Flammifer,21836,155886,427000,"[u'atmospheric black metal', u'black metal', u'Symphonic Black Metal', u'epic black metal', u'metal', u'folk metal', u'ancient', u'mysterious', u'Eargasm', u'mythological', u'eagle', u'tolkien metal', u'my all time favorites', u'Music that orcs will cry to', u'epic quest music']"
13,Long Lost to Where No Pathway Goes,30408,249974,443000,"[u'atmospheric black metal', u'epic black metal', u'black metal', u'Symphonic Black Metal', u'epic', u'tolkien metal', u'metal', u'Awesome', u'Masterpiece', u'best tracks ever', u'i have got an orgasm when i listen to it', u'atmospheric', u'nostalgic', u'melancholic', u'great song', u'austrian', u'brilliant', u'epic metal', u'fantasy metal', u'4 Stars', u'ambient black metal', u'journey', u'Atmospheric metal', u'Tolkien', u'enchanting', u'favourite tracks', u'best song', u'Epic Atmospheric Black Metal', u'symphonic black', u'legendary song', u'me like', u'Awesome metal songs', u'ultimate song', u'Ancient Spirit', u'second wave black metal', u'orchestral black metal', u'Favourite metal songs', u'long live tolkien']"
