,Songs,Listeners,Playcount,Duration,Tags
0,Superstition - Single Version,125591,420894,245000,"[u'soul', u'funk', u'70s', u'favorites', u'funky', u'Mellow', u'singalong', u'feelgood', u'New faves', u'annymix', u'good movin music', u'm singer-songwriter', u'singsongs', u'Funk Tag', u'new2', u'Misc2', u'save r', u'listenmove', u'stevie radio']"
1,Californication,1502421,11210914,321000,"[u'rock', u'alternative rock', u'alternative', u'Red Hot Chili Peppers', u'funk', u'Funk Rock', u'90s', u'californication', u'California', u'favorites', u'american', u'chill', u'rhcp', u'classic rock', u'Mellow', u'guitar', u'pop', u'seen live', u'red hot chilli peppers', u'cool', u'favorite songs', u'chillout', u'male vocalists', u'1999', u'Favourite Songs', u'classic', u'beautiful', u'favourite', u'melancholy', u'00s', u'Love', u'Awesome', u'easy listening', u'Favourites', u'punk', u'hard rock', u'funky', u'summer', u'live', u'metal', u'indie', u'USA', u'crossover', u'male vocalist', u'Favorite', u'relaxing', u'Grunge', u'melodic', u'melancholic', u'best']"
2,Tell Me Something Good,91662,255774,159000,"[u'funk', u'soul', u'70s', u'rufus', u'chaka khan', u'rnb', u'funky', u'female vocalists', u'old school', u'1974', u'classic rock', u'groovy', u'afro armpit funk', u'old school groove', u'zapfunk', u'jazzysfunkmotownandmore', u'female vocalist', u'Old School soul', u'Tell Me Something Good', u'Disco', u'pop', u'sexy', u'Love', u'Stevie Wonder', u'70s funk', u'jtm 70s', u'Tell me something good by Chaka Khan and Rufus', u'jazz', u'classic', u'USA', u'favorites', u'american', u'r and b', u'fun', u'cool', u'rhythm and blues', u'rock band', u'best', u'Favourites', u'grooves', u'ZapLovedTracks', u'tantotempotaste', u'rock band dlc', u'Soul Funk', u'old favorites', u'rhythm-blues', u'old school funk', u'annymix', u'DarkestRose-loved tracks', u'good movin music']"
3,It's Your Thing,208487,555520,167000,"[u'soul', u'funk', u'motown', u'60s', u'the isley brothers', u'rnb', u'dance', u'70s', u'its your thing', u'1969', u'Soundtrack', u'funky', u'male vocalists', u'rhythm and blues', u'oldies', u'Isley Brothers', u'soundtrackgdchill', u'pop', u'groove', u'classic soul', u'funkdisco', u'zapfunk', u'jazzysfunkmotownandmore', u'american', u'afro armpit funk', u'classic', u'Old School soul', u'Rolling Stones Top 500 Songs of All Time', u'soulfunk', u'funky soul', u'uppers', u'solid soul', u'Isley', u'isley brothers its your thing', u'jazz', u'r&b', u'old school', u""60's"", u'Rolling Stone 500 Greatest Songs of All Time', u'ZapLovedTracks', u'rollingstone 500 greatest songs of all time', u'classic soul qualities', u'funk favorites', u'shake shake shake', u'web-found', u'back in the day for real', u'soul kitchen', u'the funk you cant fake', u'this is the groove', u'70ies Funk']"
4,Thank You (Falettinme Be Mice Elf Agin) - single master,23696,48739,0,"[u'soul', u'favorites', u'funk', u'funky', u'singalong', u'feelgood', u'annymix', u'good movin music', u'listenmove', u'stevie radio']"
5,The Jam,17177,39287,492000,"[u'funk', u'70s', u'bass guitarists', u'soul', u'The jam', u'jazz-funk', u'fip', u'sampled', u'love at first listen', u'Old School soul', u'Basically Bass', u'Funk Tag', u'soundhog samples', u'jazz', u'instrumental', u'quiet storm', u'Psychedelic Soul', u'acid jazz', u'funky', u'r&b', u'rnb', u'drum break', u'i love this', u'extensive vamping', u'major key tonality', u'repetitive melodic phrasing', u'funkadelic', u'groove based composition', u'prominent organ', u'electric pianos', u'The Sopranos', u'old school funk', u'aint it funky', u'heavy instrumental improvisation', u'prominent bass riffs', u'heavy use of vocal harmonies', u'paired vocal harmony', u'flat out funky grooves', u'classic soul qualities', u'heavy syncopation', u'demanding instrumental part writing', u'a dirty electric guitar solo', u'Rare Earth', u'graham central station', u'my drum songs', u'full stops', u'fatback-funky', u'Larry Graham and Graham Central Station', u'awesome bit o funk', u'Kennys  70s Funk']"
6,Clean Up Woman,60393,176729,165000,"[u'soul', u'funk', u'female vocalists', u'betty wright', u'70s', u'northern soul', u'jazzysfunkmotownandmore', u'clean up woman', u'blues', u'1971', u'USA', u'funky', u'Confident', u'female vocalist', u'rhythm and blues', u'Old School soul', u'tantotempotaste', u'hip hop sample', u'Soul Funk', u'classic soul', u'back in the day', u'Nothern Soul', u'Thats me', u'Soul Remedy', u'dont know nuttin bout dis', u'Disco', u'pop', u'RB', u'motown', u'singer', u'american', u'smooth', u'r and b', u'fun', u'fip', u'loved', u'samples', u'nostalgia', u'work', u'Yay', u'sexual', u'Radio Music', u'billboard', u'tune', u'Faves', u'try a little tenderness', u'lp', u'classic music', u'AM Gold', u'All time favourites']"
7,Slippery When Wet,55297,144545,191000,"[u'funk', u'soul', u'70s', u'funky', u'house md', u'afro armpit funk', u'Disco', u'party', u'Old School soul', u'commodores', u'Soundtrack', u'motown', u'old school', u'rnb', u'party music', u'tv soundtrack', u'tantotempotaste', u'aint it funky', u'DarkestRose-loved tracks', u'pure funk', u'pop', u'rock', u'80s', u'dance', u'calm', u'catchy', u'sax', u'american', u'jazz funk', u'r&b', u'fun', u'Smooth Jazz', u'smart', u'rhythm and blues', u'1970s', u'Black', u'badass', u'slow jams', u'never gets old', u'co', u'sharp', u'gut', u'soulfunk', u'groovyacousticsoul', u'rhythm-blues', u'old school dance', u'lieblingslieder', u'2giveme5', u'House Md Soundtrack', u'Classic soul and funk']"
8,People Get Up And Drive Your Funky Soul - Remix,19432,48324,537000,"[u'soul', u'funk', u'original']"
9,Now's the Only Time I Know,249405,1572465,239000,"[u'electronic', u'female vocalists', u'chillout', u'swedish', u'fever ray', u'ambient', u'alternative', u'heartwrenchingly beautiful', u'electronica', u'downtempo', u'chill', u'mystical', u'atmospheric', u'electric barbarella', u'2009', u'electro', u'dark', u'beautiful', u'fucking cool', u'scandinavian', u'Mellow', u'synthpop', u'00s', u'perfect', u'sensual', u'Goodness', u'pure', u'-electronic-', u'vugube62', u'trip-hop', u'electropop', u'indie', u'female', u'experimental', u'synth pop', u'Dreamy', u'female vocals', u'cool', u'dark ambient', u'I myself am strange and unusual', u'a subtle use of vocal harmony', u'minor key tonality', u'makes me happy', u'electronica influences', u'art pop', u'mild rhythmic syncopation', u'synth rock arranging', u'a vocal-centric aesthetic', u'-favorites-', u'Women in Electronic Music']"
