,Songs,Listeners,Playcount,Duration,Tags
19,Look What Happened,143362,772532,186000,"[u'ska', u'ska punk', u'punk', u'rock', u'punk rock', u'pop punk', u'seen live', u'alternative', u'Punk-Rock', u'ska-punk', u'less than jake', u'look what happened', u'upbeat', u'paired vocal harmony', u'ska punk favorites', u'happy', u'american', u'Favorite', u'shit', u'major key tonality', u'skapunk', u'punk influences', u'favorite song of all time', u'satanic ska', u'melodic punkrock', u'indie', u'alternative rock', u'favorite songs', u'emo', u'indie rock', u'fast', u'USA', u'favorites', u'Love', u'leaving', u'reminds me of', u'Awesome', u'90s', u'horns', u'My', u'East Coast', u'Coldplay', u'LTJ', u'heard on Pandora', u'brass', u'00s', u'beach music', u'rude', u'tagged', u'english']"
20,Suburban Myth,36782,137737,145000,"[u'ska', u'ska punk', u'alternative-rock', u'less than jake', u'shit', u'seen live', u'punk', u'USA', u'Rock Argentino', u'american', u'punk rock', u'percussion', u'brass', u'Pop-punk', u'00s', u'10 of 10 stars', u'florida', u'Leningrad', u'third wave', u'ska ska ska', u'americain', u'New Skool-kiddypunk-markesque', u'punk goodness', u'ska goodness', u'stephsfavs', u'suburban myth']"
21,Kehoe,33910,127404,181000,"[u'ska', u'american', u'ska punk', u'shit', u'punk', u'USA', u'6 of 10 stars', u'2002', u'2000', u'damn', u'less than jake', u'americain', u'TT Ska', u'SKA Favorites', u'stephsfavs']"
22,Magnetic North,39450,153780,179000,"[u'ska', u'ska punk', u'punk rock', u'rock', u'punk', u'shit', u'less than jake', u'seen live', u'indie', u'pop', u'soul', u'alternative', u'indie rock', u'power pop', u'USA', u'Stoner Rock', u'catchy', u'Driving', u'american', u'pop punk', u'green day', u'Garage Rock', u'California', u'stoner', u'blues rock', u'loved', u'brass', u'Rock and Roll', u'00s', u'Favorite', u'Garage Punk', u'ska-punk', u'Masterpiece', u'6 of 10 stars', u'awesomeness', u'florida', u'third wave ska', u'stoner punk', u'sic', u'yolala nofx', u'americain', u'SKA Favorites', u'road trippin', u'sk8er', u'stephsfavs', u'katie loves this', u'the scarred', u'kapuzenpulli']"
23,All My Best Friends Are Metalheads,140038,738370,211000,"[u'ska', u'ska punk', u'punk', u'punk rock', u'rock', u'pop punk', u'less than jake', u'digimon', u'seen live', u'ska-punk', u'indie', u'alternative', u'happy', u'FUCKING AWESOME', u'THPS4', u'pop', u'alternative rock', u'hardcore', u'favorites', u'memories', u'summer', u'fun', u'shit', u'Favourites', u'melodic hardcore', u'goodness in a box', u'indie-punk', u'tony hawks pro skater', u'Best Songs of the 90s', u'SKA Favorites', u'happy stuff', u'ska yo', u'metal', u'favorite songs', u'hard rock', u'USA', u'energy', u'guitar', u'feel good', u'90s', u'horns', u'subway', u'american', u'screamo', u'aaa', u'party music', u'Rousing', u'Coldplay', u'great song', u'LTJ']"
24,Look What Happened,143362,772532,186000,"[u'ska', u'ska punk', u'punk', u'rock', u'punk rock', u'pop punk', u'seen live', u'alternative', u'Punk-Rock', u'ska-punk', u'less than jake', u'look what happened', u'upbeat', u'paired vocal harmony', u'ska punk favorites', u'happy', u'american', u'Favorite', u'shit', u'major key tonality', u'skapunk', u'punk influences', u'favorite song of all time', u'satanic ska', u'melodic punkrock', u'indie', u'alternative rock', u'favorite songs', u'emo', u'indie rock', u'fast', u'USA', u'favorites', u'Love', u'leaving', u'reminds me of', u'Awesome', u'90s', u'horns', u'My', u'East Coast', u'Coldplay', u'LTJ', u'heard on Pandora', u'brass', u'00s', u'beach music', u'rude', u'tagged', u'english']"
25,Look What Happened,143362,772532,186000,"[u'ska', u'ska punk', u'punk', u'rock', u'punk rock', u'pop punk', u'seen live', u'alternative', u'Punk-Rock', u'ska-punk', u'less than jake', u'look what happened', u'upbeat', u'paired vocal harmony', u'ska punk favorites', u'happy', u'american', u'Favorite', u'shit', u'major key tonality', u'skapunk', u'punk influences', u'favorite song of all time', u'satanic ska', u'melodic punkrock', u'indie', u'alternative rock', u'favorite songs', u'emo', u'indie rock', u'fast', u'USA', u'favorites', u'Love', u'leaving', u'reminds me of', u'Awesome', u'90s', u'horns', u'My', u'East Coast', u'Coldplay', u'LTJ', u'heard on Pandora', u'brass', u'00s', u'beach music', u'rude', u'tagged', u'english']"
26,Hurt,1009094,7810321,218000,"[u'country', u'cover', u'acoustic', u'sad', u'folk', u'Johnny Cash', u'melancholy', u'singer-songwriter', u'covers', u'beautiful', u'rock', u'hurt', u'classic rock', u'favorites', u'melancholic', u'american', u'male vocalists', u'cash', u'legend', u'Mellow', u'emotional', u'00s', u'Alt-country', u'Awesome', u'guitar', u'classic', u'alternative', u'depressing', u'nine inch nails', u'pain', u'better than the original', u'blues', u'intense', u'americana', u'Favourites', u'nine inch nails cover', u'haunting', u'Favorite', u'dark', u'Great Covers', u'Love', u'male vocalist', u'amazing', u'Heartbreaking', u'powerful', u'oldies', u'favourite', u'perfect', u'brilliant', u'classic country']"
27,The Man Comes Around,359264,1942411,266000,"[u'country', u'folk', u'Johnny Cash', u'singer-songwriter', u'acoustic', u'rock', u'americana', u'Alt-country', u'classic rock', u'cash', u'apocalyptic', u'guitar', u'american', u'00s', u'Soundtrack', u'favorites', u'christian', u'classic country', u'Traditional Country', u'classic', u'Awesome', u'gospel', u'biblical', u'cover', u'folk rock', u'male vocalists', u'country-folk', u'alternative', u'epic', u'religious', u'rockabilly', u'blues', u'Favourites', u'religion', u'Armageddon', u'american i like', u'Dawn of the Dead', u'MetroHadriani Loves this music', u'covers', u'male vocalist', u'singer songwriter', u'country rock', u'great songs', u'Black', u'male vocals', u'2002', u'apocalypse', u'amayzes loved', u'best covers of all time', u'The man comes around']"
28,Bridge Over Troubled Water,185100,729594,235000,"[u'country', u'cover', u'folk', u'covers', u'Johnny Cash', u'singer-songwriter', u'rock', u'classic rock', u'00s', u'acoustic', u'Mellow', u'american', u'Ballad', u'cash', u'duets', u'sad', u'americana', u'male vocalists', u'duet', u'american i like', u'rockabilly', u'blues', u'beautiful', u'Alt-country', u'Bridge Over Troubled Water', u'favorites', u'Great Covers', u'country rock', u'relax', u'2002', u'simon and garfunkel cover', u'singer-songwritergdchill', u'The Covers Record', u'vugube62', u'pop', u'classic', u'Love', u'classic country', u'cover songs', u'2000s', u'cover version', u'Simon and Garfunkel', u'versions', u'fiona apple', u'mellotron', u'tantotempotaste', u'bobbyscdclub', u'bcc2009', u'buryblue', u'indie']"
29,Give My Love to Rose,294067,1135815,159000,"[u'country', u'Johnny Cash', u'folk', u'americana', u'oldies', u'classic country', u'singer-songwriter', u'acoustic', u'death', u'classic rock', u'american', u'cash', u'Traditional Country', u'rock', u'sad', u'Alt-country', u'singer-songwritergdchill', u'american i like', u'give my love to rose', u'MetroHadriani Loves this music', u'Love', u'50s', u'favorites', u'male vocalists', u'00s', u'indie', u'alternative', u'guitar', u'cover', u'male vocalist', u'title is a full sentence', u'names', u'flowers', u'legend', u'1957', u'american recordings']"
30,Hurt,1009094,7810321,218000,"[u'country', u'cover', u'acoustic', u'sad', u'folk', u'Johnny Cash', u'melancholy', u'singer-songwriter', u'covers', u'beautiful', u'rock', u'hurt', u'classic rock', u'favorites', u'melancholic', u'american', u'male vocalists', u'cash', u'legend', u'Mellow', u'emotional', u'00s', u'Alt-country', u'Awesome', u'guitar', u'classic', u'alternative', u'depressing', u'nine inch nails', u'pain', u'better than the original', u'blues', u'intense', u'americana', u'Favourites', u'nine inch nails cover', u'haunting', u'Favorite', u'dark', u'Great Covers', u'Love', u'male vocalist', u'amazing', u'Heartbreaking', u'powerful', u'oldies', u'favourite', u'perfect', u'brilliant', u'classic country']"
31,The Man Comes Around,359264,1942411,266000,"[u'country', u'folk', u'Johnny Cash', u'singer-songwriter', u'acoustic', u'rock', u'americana', u'Alt-country', u'classic rock', u'cash', u'apocalyptic', u'guitar', u'american', u'00s', u'Soundtrack', u'favorites', u'christian', u'classic country', u'Traditional Country', u'classic', u'Awesome', u'gospel', u'biblical', u'cover', u'folk rock', u'male vocalists', u'country-folk', u'alternative', u'epic', u'religious', u'rockabilly', u'blues', u'Favourites', u'religion', u'Armageddon', u'american i like', u'Dawn of the Dead', u'MetroHadriani Loves this music', u'covers', u'male vocalist', u'singer songwriter', u'country rock', u'great songs', u'Black', u'male vocals', u'2002', u'apocalypse', u'amayzes loved', u'best covers of all time', u'The man comes around']"
32,Faction,35051,120422,210000,"[u'ska', u'ska punk', u'punk', u'punk rock', u'pop punk', u'ska-punk', u'seen live', u'USA', u'epic', u'american', u'aa', u'heard on Pandora', u'Pop-punk', u'punkrock', u'9 of 10 stars', u'FUCKING AWESOME', u'2002', u'skapunk', u'punk ska', u'pop ska', u'americain', u'Ska Band', u'SKA Favorites', u'Me Likes', u'juliancito', u'sweaty wednesday night at the cockpit', u'old skool faves', u'ami punk', u'klmnn', u'sklom']"
33,Bigger Picture,30029,108648,161000,"[u'ska', u'punk', u'rock', u'shit', u'less than jake', u'seen live', u'USA', u'american', u'punk rock', u'ska punk', u'Pop-punk', u'gute laune', u'7 of 10 stars', u'2000', u'teen angst', u'clever lyrics', u'more cowbell', u'laut', u'punk ska', u'americain', u'warm up', u'Punk Favorites', u'stephsfavs', u'neu entdeckt', u'das uebliche', u'linkfavs']"
34,Last Hour of the Last Day of Work,26215,103284,197000,"[u'ska', u'ska punk', u'shit', u'punk', u'USA', u'american', u'pop punk', u'2000', u'punk ska', u'Damn good music', u'less than jake', u'americain', u'stephsfavs', u'cool of me']"
35,1989,30265,115724,147000,"[u'ska', u'ska punk', u'punk', u'seen live', u'USA', u'american', u'6 of 10 stars', u'2000', u'punk ska', u'alternative-rock', u'f-bomb', u'americain', u'Skankable', u'New Skool-kiddypunk-markesque', u'stephsfavs', u'trumpet-tastic', u'RG-approved']"
36,Pete Jackson Is Getting Married,26591,105718,114000,"[u'ska', u'ska punk', u'punk', u'shit', u'indie', u'USA', u'american', u'2002', u'2000', u'punk ska', u'melodycore', u'less than jake', u'americain', u'Punk Favorites']"
37,Is This Thing on?,25109,97806,186000,"[u'ska', u'rock', u'punk', u'USA', u'Energetic', u'american', u'ska punk', u'Pop-punk', u'optimistic', u'great songs', u'7 of 10 stars', u'punk ska', u'songs with questions for titles', u'americain', u'Mad Caddies', u'Punk Favorites', u'reminds me of old friends', u'Good Skate-Punk', u'pop-punk ska', u'less than jake is this thing on']"
38,Bad Scene and a Basement Show,32820,127415,158000,"[u'ska', u'ska punk', u'punk', u'seen live', u'punk rock', u'this is a good song', u'stephsfavs', u'rock', u'USA', u'Awesome', u'american', u'good', u'punkrock', u'ska-punk', u'Love it', u'2000', u'punk ska', u'I love', u'thrill', u'it rocks', u'americain', u'TT Ska', u'songs to sing along with', u'SKA Favorites', u'she dont understand me', u'topska']"
39,Malt Liquor Tastes Better When You've Got Problems,20862,90192,144000,"[u'ska punk', u'USA', u'ska', u'american', u'2002', u'punk ska', u'damn', u'americain', u'131', u'irish national anthem']"
40,Gainesville Rock City,55801,235708,187000,"[u'ska', u'ska punk', u'punk', u'punk rock', u'less than jake', u'rock', u'heard on Pandora', u'shit', u'skapunk', u'USA', u'happy', u'catchy', u'Awesome', u'american', u'pop punk', u'great song', u'male vocalist', u'Pop-punk', u'punkrock', u'english lyrics', u'2000', u'money', u'simple', u'blingtacular', u'summer tunes', u'Hard-Rock', u'all-time favorite', u'great listening', u'secondary school favourites', u'days spent watching kerrang and mtv2 when i was a teenager', u'americain', u'TT Ska', u'Reminds me of my sister', u'SKA Favorites', u'relates to my life', u'oldskoolz', u'plain ol rock and roll', u'My brothers music', u'hopa', u'sweaty wednesday night at the cockpit', u'samsons songs', u'stephsfavs', u'boringParty', u'trumpet-tastic', u'fat wreck compilation', u'wrecktrospective', u'compilation song', u'annette louisan', u'thursday nights at the cooperage', u'k1r7m']"
41,Mr. Chevy Celebrity,29022,118671,102000,"[u'ska', u'punk', u'ska punk', u'seen live', u'emo', u'college', u'less than jake', u'stephsfavs']"
42,Hell Looks a Lot Like L.A.,30634,124978,133000,"[u'ska', u'favorites', u'Awesome', u'ska punk', u'shit', u'ska-punk', u'USA', u'happy', u'Love', u'Energetic', u'american', u'punk rock', u'amazing', u'los angeles', u'7 of 10 stars', u'Good Stuff', u'russian punk', u'songs about cities', u'great title', u'yolala nofx', u'less than jake', u'americain', u'pick it up', u'SKA Favorites', u'Songs about LA', u'ska ska']"
43,Look What Happened,143362,772532,186000,"[u'ska', u'ska punk', u'punk', u'rock', u'punk rock', u'pop punk', u'seen live', u'alternative', u'Punk-Rock', u'ska-punk', u'less than jake', u'look what happened', u'upbeat', u'paired vocal harmony', u'ska punk favorites', u'happy', u'american', u'Favorite', u'shit', u'major key tonality', u'skapunk', u'punk influences', u'favorite song of all time', u'satanic ska', u'melodic punkrock', u'indie', u'alternative rock', u'favorite songs', u'emo', u'indie rock', u'fast', u'USA', u'favorites', u'Love', u'leaving', u'reminds me of', u'Awesome', u'90s', u'horns', u'My', u'East Coast', u'Coldplay', u'LTJ', u'heard on Pandora', u'brass', u'00s', u'beach music', u'rude', u'tagged', u'english']"
44,Suburban Myth,36782,137737,145000,"[u'ska', u'ska punk', u'alternative-rock', u'less than jake', u'shit', u'seen live', u'punk', u'USA', u'Rock Argentino', u'american', u'punk rock', u'percussion', u'brass', u'Pop-punk', u'00s', u'10 of 10 stars', u'florida', u'Leningrad', u'third wave', u'ska ska ska', u'americain', u'New Skool-kiddypunk-markesque', u'punk goodness', u'ska goodness', u'stephsfavs', u'suburban myth']"
45,Kehoe,33910,127404,181000,"[u'ska', u'american', u'ska punk', u'shit', u'punk', u'USA', u'6 of 10 stars', u'2002', u'2000', u'damn', u'less than jake', u'americain', u'TT Ska', u'SKA Favorites', u'stephsfavs']"
46,Magnetic North,39450,153780,179000,"[u'ska', u'ska punk', u'punk rock', u'rock', u'punk', u'shit', u'less than jake', u'seen live', u'indie', u'pop', u'soul', u'alternative', u'indie rock', u'power pop', u'USA', u'Stoner Rock', u'catchy', u'Driving', u'american', u'pop punk', u'green day', u'Garage Rock', u'California', u'stoner', u'blues rock', u'loved', u'brass', u'Rock and Roll', u'00s', u'Favorite', u'Garage Punk', u'ska-punk', u'Masterpiece', u'6 of 10 stars', u'awesomeness', u'florida', u'third wave ska', u'stoner punk', u'sic', u'yolala nofx', u'americain', u'SKA Favorites', u'road trippin', u'sk8er', u'stephsfavs', u'katie loves this', u'the scarred', u'kapuzenpulli']"
47,7 Years Down,38299,150703,154000,"[u'punk', u'punk rock', u'ska punk', u'rancid', u'political', u'ska-punk', u'hardcore punk', u'Punk-Rock', u'true punk', u'test', u'rock', u'american', u'00s', u'punkrock', u'9 of 10 stars', u'10 of 10 stars', u'leapsandbounds CDCollection', u'Punk Favorites', u'General Punk']"
48,Dope Sick Girl,43790,183462,134000,"[u'punk', u'punk rock', u'ska punk', u'rock', u'ska', u'rancid', u'alternative', u'alternative rock', u'classic rock', u'hardcore', u'hard rock', u'favorites', u'Dope', u'California', u'garage', u'drugs', u'ska-punk', u'street punk', u'songs about heroin', u'8 of 10 stars', u'9 of 10 stars', u'nostalgia', u'hardcore punk', u'4 of 10 stars', u'makes me happy', u'Nirvana', u'East Bay', u'leapsandbounds CDCollection', u'played at punk in public', u'Transplants', u'underbar', u'General Punk', u'das geile Schwarze']"
49,St. Mary,36123,152147,129000,"[u'punk', u'punk rock', u'rancid', u'ska punk', u'ska-punk', u'rock', u'seen live', u'alternative', u'alternative rock', u'ska', u'9 of 10 stars', u'hardcore punk', u'names', u'Punk-Rock', u'nosan', u'leapsandbounds CDCollection', u'the strombo show', u'Facebook Random Soundtrack', u'PunkRockxXx']"
50,Black & Blue,27861,102532,118000,"[u'punk', u'punk rock', u'ska punk', u'9 of 10 stars', u'hardcore punk', u'4 of 10 stars', u'Occupy', u'rancid', u'leapsandbounds CDCollection', u'Punk Favorites']"
51,Harry Bridges,34822,132691,140000,"[u'punk', u'punk rock', u'ska punk', u'rancid', u'General Punk', u'rock', u'alternative', u'alternative rock', u'hard rock', u'favorites', u'Rock and Roll', u'ska-punk', u'9 of 10 stars', u'names', u'Occupy', u'Punk-Rock', u'leapsandbounds CDCollection', u'anilar']"
52,Ghetto Box,36903,139389,71000,"[u'punk', u'punk rock', u'rancid', u'ska punk', u'fast', u'9 of 10 stars', u'4 of 10 stars', u'East Bay', u'leapsandbounds CDCollection', u'untaggedhome', u'gilman', u'Punk Favorites']"
53,Gave it Away,35529,131718,72000,"[u'punk', u'punk rock', u'rancid', u'test', u'9 of 10 stars', u'East Bay', u'leapsandbounds CDCollection', u'untaggedhome', u'gilman', u'Punk Favorites', u'General Punk']"
54,I Am the One,37105,140267,117000,"[u'punk', u'punk rock', u'rancid', u'seen live', u'ska punk', u'9 of 10 stars', u'4 of 10 stars', u'hey', u'East Bay', u'real punk', u'leapsandbounds CDCollection', u'untaggedhome', u'gilman', u'Punk Favorites', u'General Punk']"
55,Gunshot,37183,141957,110000,"[u'punk', u'punk rock', u'rancid', u'shit', u'test', u'seen live', u'Old School Punk', u'alternative', u'hardcore', u'ska', u'good shit', u'California', u'ska-punk', u'9 of 10 stars', u'East Bay', u'skapunk', u'Oi', u'Punx', u'leapsandbounds CDCollection', u'untaggedhome', u'gilman', u'Punk Favorites', u'plain but great']"
56,The Ballad of Jimmy & Johnny,27327,102457,99000,"[u'punk', u'punk rock', u'ska punk', u'rancid', u'9 of 10 stars', u'names', u'leapsandbounds CDCollection', u'Punk Favorites']"
57,Burn,38665,149037,130000,"[u'punk', u'punk rock', u'rancid', u'rock', u'9 of 10 stars', u'leapsandbounds CDCollection', u'alternative', u'alternative rock', u'hard rock', u'favorites', u'ska punk', u'nostalgia', u'makes me happy', u'East Bay', u'untaggedhome', u'gilman', u'underbar', u'Punk Favorites', u'LET THE MOTHERFUCKER BURN', u'hip dancy tunes']"
58,As One,39632,153963,93000,"[u'punk', u'punk rock', u'rancid', u'rock', u'alternative', u'alternative rock', u'hard rock', u'favorites', u'9 of 10 stars', u'nostalgia', u'makes me happy', u'East Bay', u'purely nostalgia', u'leapsandbounds CDCollection', u'gilman', u'underbar', u'General Punk', u'tragically yours', u'tragically yours - bittersweet you', u'tragically yours - sister stone', u'tragically yours - give me one reason', u'X-Fighter']"
59,Let's Go,41483,165469,86000,"[u'punk', u'punk rock', u'rancid', u'ska punk', u'rock', u'true punk', u'seen live', u'alternative', u'alternative rock', u'hard rock', u'favorites', u'9 of 10 stars', u'East Bay', u'90s punk', u'yolala nofx', u'leapsandbounds CDCollection', u'gilman', u'underbar', u'General Punk']"
60,Tenderloin,44202,194169,91000,"[u'punk', u'rancid', u'seen live', u'rock', u'punk rock', u'favorites', u'ska punk', u'san francisco', u'drugs', u'9 of 10 stars', u'2000', u'East Bay', u'pandora radio', u'leapsandbounds CDCollection', u'gilman', u'underbar']"
