,Songs,Listeners,Playcount,Duration,Tags
0,Anything Goes,3659,8401,181000,[]
1,Goin' in the Backdoor,2293,4918,190000,[]
2,She's Tight,3174,8725,174000,"[u'heavy metal', u'hard rock']"
3,Walk Of Shame,1528,3414,251000,[]
4,I Got What You Want,2090,5005,253000,[]
5,Wasted Too Much Time,1736,4067,230000,[]
6,Pussy Ain't Free,1793,4108,236000,[]
7,Now the Fun Starts,1750,4007,0,[]
8,Wrong Side of the Tracks (Out in Beverly Hills),1818,4192,0,[]
9,That's When You Came In,1986,4889,226000,[]
10,Poontang Boomerang,3785,9494,202000,"[u'Glam Metal', u'2017']"
11,Anything Goes,3659,8401,181000,[]
12,Paradise City,1040639,6529150,406000,"[u'hard rock', u'rock', u'classic rock', u'80s', u'Guns N Roses', u'metal', u'heavy metal', u'Paradise City', u""Guns N' Roses"", u'hair metal', u'american', u'guitar', u'glam rock', u'Slash', u'favorites', u'rock n roll', u'80s rock', u'Awesome', u'1987', u'classic', u'Axl Rose', u'GNR', u'favorite songs', u'90s', u'Rock and Roll', u'Burnout Paradise', u'Appetite For Destruction', u'Glam Metal', u'favorites of all time', u'Awesome Guitar Jams', u'USA', u'oldies', u'cool', u'guns', u'sleaze rock', u'seen live', u'pop', u'alternative', u'party', u'10 of 10 stars', u'the best of classic rock', u'heavy', u'Favorite', u'1980s', u'summer', u'California', u'FUCKING AWESOME', u'80s hair metal', u'Barney Stinson Get Psyched mix', u'alternative rock']"
13,Out ta Get Me,284175,1464120,260000,"[u'hard rock', u'rock', u'Guns N Roses', u'classic rock', u'80s', u'heavy metal', u'metal', u'hair metal', u'american', u'rock n roll', u'guitar', u'glam rock', u'8 of 10 stars', u'1987', u'Glam Metal', u'Axl Rose', u'Slash', u'izzy stradlin', u'heavy', u'electric guitar', u""80's"", u'songs i love', u'9 of 10 stars', u'6 of 10 stars', u'sleaze', u'sleaze rock', u'classic metal', u'80s rock', u'iTunes', u'Duff McKagan', u'Metal songs', u'Appetite For Destruction', u'steven adler', u'punk', u'Hard', u'USA', u'album rock', u'arena rock', u'vocals', u'angry', u'party', u'aggressive', u'loved', u'male vocalist', u'male vocalists', u'sleazy', u'Cock rock', u'80s Heavy Metal', u'wake up', u'safe']"
14,Nightrain,372217,2342245,266000,"[u'hard rock', u'rock', u'80s', u'classic rock', u'Guns N Roses', u'heavy metal', u'metal', u'american', u'hair metal', u'rock n roll', u'glam rock', u'1987', u'Glam Metal', u'Slash', u'guitar', u'live', u'songs i love', u'alternative rock', u'Hard', u'blues rock', u'sleaze', u'Axl Rose', u'good songs', u'GNR', u'Appetite For Destruction', u'Nightrain', u'seen live', u'classic', u'punk', u'Stoner Rock', u'favorites', u'90s', u'male vocalists', u'drugs', u'8 of 10 stars', u'1980s', u'10 of 10 stars', u'6 of 10 stars', u""Guns N' Roses"", u'sleaze rock', u'classic metal', u'guns and roses', u'Grunge', u'heavy', u'USA', u'solo', u'Awesome', u'amazing', u'loved', u'cool']"
15,It's So Easy,366018,2005643,201000,"[u'hard rock', u'rock', u'80s', u'Guns N Roses', u'classic rock', u'metal', u'heavy metal', u'hair metal', u'american', u""Guns N' Roses"", u'rock n roll', u'Glam Metal', u'GNR', u'favorites', u'1987', u'Slash', u'guitar', u'glam rock', u'punk', u'80s rock', u'Rock and Roll', u'guitar virtuoso', u'Axl Rose', u'Appetite For Destruction', u'seen live', u'Grunge', u'heavy rock', u'6 of 10 stars', u'classic metal', u'80s metal', u'80s hair metal', u'old school rock', u'distorted electric guitar', u'its so easy', u'alternative rock', u'cowbell', u'USA', u'power', u'dark', u'psychedelic', u'electric guitar', u'punk rock', u'old school', u'cool', u'male vocalists', u'songs i love', u'8 of 10 stars', u'80s Heavy Metal', u'10 of 10 stars', u'easy']"
16,Goin' in the Backdoor,2293,4918,190000,[]
17,Mr. Brownstone,353111,2030389,226000,"[u'hard rock', u'rock', u'80s', u'classic rock', u'Guns N Roses', u'heavy metal', u'metal', u'hair metal', u'drugs', u'glam rock', u'1987', u'american', u'Glam Metal', u'GNR', u'heroin', u""Guns N' Roses"", u'80s rock', u'rock n roll', u'wrif-fm', u'10 of 10 stars', u'seen live', u'USA', u'90s', u'Rock and Roll', u'1980s', u'80s metal', u'guns and roses', u'Mr Brown Stone', u'Mr Brownstone', u'alternative rock', u'cowbell', u'8 of 10 stars', u'80s Heavy Metal', u'colors', u'sleaze', u'Slash', u'sleaze rock', u'classic metal', u'80s hard rock', u'G n R', u'Appetite For Destruction', u'classic', u'guitar', u'party', u'male vocalists', u'Favorite', u'badass', u'guns', u'hardrock', u'brass balls']"
18,It's So Easy,366018,2005643,201000,"[u'hard rock', u'rock', u'80s', u'Guns N Roses', u'classic rock', u'metal', u'heavy metal', u'hair metal', u'american', u""Guns N' Roses"", u'rock n roll', u'Glam Metal', u'GNR', u'favorites', u'1987', u'Slash', u'guitar', u'glam rock', u'punk', u'80s rock', u'Rock and Roll', u'guitar virtuoso', u'Axl Rose', u'Appetite For Destruction', u'seen live', u'Grunge', u'heavy rock', u'6 of 10 stars', u'classic metal', u'80s metal', u'80s hair metal', u'old school rock', u'distorted electric guitar', u'its so easy', u'alternative rock', u'cowbell', u'USA', u'power', u'dark', u'psychedelic', u'electric guitar', u'punk rock', u'old school', u'cool', u'male vocalists', u'songs i love', u'8 of 10 stars', u'80s Heavy Metal', u'10 of 10 stars', u'easy']"
