,Songs,Listeners,Playcount,Duration,Tags
0,Trevo (Tu),9164,65692,205000,[]
1,From Hell do Céu,7706,56324,240000,"[u'rap', u'Hip-Hop', u'underground hip-hop', u'Rap Nacional', u'geografia']"
2,Rolo Compressor,3384,15967,192000,[]
3,Na Segunda Vinda,9565,68918,268000,"[u'Rap Nacional', u'amigos', u'rap', u'ragga', u'dancehall', u'divers\xe3o', u'br4z1l14n f4nk7 k0r3', u'petrus']"
4,Rock'n'roll,2457,7837,0,[]
5,Mister Niterói,10402,89227,238000,"[u'ragga', u'dancehall']"
6,Identidade,3356,12580,230000,[]
7,Babylon By Gus,15403,109925,259000,"[u'rap', u'Nacional', u'rapera', u'Hip-Hop', u'Rap Nacional', u'black alien', u'zeca', u'OpelMelange']"
8,Como Eu Te Quero,15435,114747,212000,"[u'Hip-Hop', u'brasil', u'Brasil Rap', u'brazil', u'Black', u'latin hip-hop', u'rap', u'Radio', u'mpb', u'Rap Nacional', u'bom', u'como eu te quero']"
9,Perícia na Delícia,5667,30409,222000,"[u'rap', u'Rap Nacional', u'latin-raggaton']"
10,Cor De Marte,7978,77516,191000,[]
11,Trevo (Tu),9164,65692,205000,[]
12,Tempos Modernos,29198,155509,423000,"[u'mpb', u'Nacional', u'pop', u'pop rock', u'brasil', u'lulu santos', u'rock nacional', u'lulu', u'rock brasilero', u'seen live', u'childhood', u'1982', u'makes me wanna dance', u'rj', u'best of 1982', u'los hermanos', u'As melhores do Brasil', u'funk nacional', u'pop nacional', u'favorite lyrics', u'melhor de 1982', u'tempos', u'Eu gostei', u'afrociberdelics', u'lehugeur', u'eltonluc', u'loungetl', u'lulu santos-tempos modernos', u'brasil rock leve', u'Elton Lima', u'Elton Limma', u'guitar real iv', u'lulu santos tempos mordenos', u'80s collections']"
13,Toda Forma De Amor,17048,80442,220000,"[u'pop rock', u'Love', u'Awesome', u'brasil', u'brazilian', u'Romantica', u'lulu', u'As melhores do Brasil', u'lulu santos', u'sicasspop', u'MelS2Messias', u'Elton Lima', u'Elton Limma']"
14,Apenas Mais Uma De Amor,38216,220703,218000,"[u'Love', u'pop', u'pop rock', u'rock nacional', u'90s', u'brazilian', u'brazilian rock', u'my 500 essential songs', u'lulu santos', u'pop nacional', u'chillout', u'acoustic', u'brasil', u'mpb', u'male vocalists', u'Ballad', u'Baladas', u'DNA', u'Nacional', u's2', u'best of 1992', u'sister shit', u'minhas', u'Melhor de 1992', u'mela cueca', u'slytherin pride', u'brasilianisch', u'Elton Lima', u'Elton Limma', u'Eu Toco']"
15,Sozinho - Live in Brazil / 1998,16264,59528,0,[u'folk']
16,Pra Você Dar o Nome,19348,212929,242000,"[u'mpb', u'Love', u'top', u'brazilian', u'2012', u'amor', u'fim', u'preferido', u'so much feelings']"
17,Trevo (Tu),9164,65692,205000,[]
18,Yesterday - Remastered 2009,70010,180315,0,[]
19,Take It Easy,416581,1802359,209000,"[u'classic rock', u'Eagles', u'70s', u'rock', u'country', u'country rock', u'oldies', u'soft rock', u'Southern Rock', u'take it easy', u'pop', u'easy listening', u'Mellow', u'Driving', u'Eagles - Take It Easy', u'relaxing', u'male vocalists', u'folk rock', u'chill', u'classic', u'favorites', u'80s', u'american', u'summer', u'1972', u'banjo', u'relax', u'folk', u'Love', u'acoustic', u'the eagles', u'sufu5a', u'pop rock', u'country-rock', u'guitar', u'west coast', u'fun', u'rock n roll', u'road trip', u'Legendary', u'oh yeah this is what my doctor told me I needed', u'Progressive rock', u'happy', u'americana', u'beautiful', u'Awesome', u'laid back', u'optimistic', u'Favorite', u'feelgood']"
20,Imagine - 2010 - Remaster,96493,317454,184000,"[u'pop', u'rock', u'pure-70', u'oldies', u'1971', u""70's"", u'70s soft rock', u'pure-peace', u'pure-megafav']"
21,Wish You Were Here - 2011 Remastered Version,111440,448134,0,"[u'70s progressive rock', u'if this song were a girl i would fuck her or at least touch her tits', u'genre: progressive rock', u'radio-moonlight-progressive rock', u'the ost']"
22,Tears in Heaven,771608,3778720,273000,"[u'classic rock', u'blues', u'acoustic', u'guitar', u'rock', u'eric clapton', u'sad', u'singer-songwriter', u'blues rock', u'Ballad', u'90s', u'tears in heaven', u'Mellow', u'beautiful', u'british', u'pop', u'male vocalists', u'Love', u'clapton', u'easy listening', u'melancholy', u'soft rock', u'male vocalist', u'slow', u'guitar virtuoso', u'favorites', u'oldies', u'acoustic guitar', u'romantic', u'chillout', u'80s', u'emotional', u'heaven', u'classic', u'ballads', u'Awesome', u'relax', u'Unplugged', u'melancholic', u'Tears', u'eric', u'chill', u'1992', u'give him another chance', u'soul', u'smooth', u'love songs', u'hans henny jahnn', u'Eric Clapton - Tears in Heaven', u'sad maniac']"
23,Layla,659000,3246746,430000,"[u'classic rock', u'rock', u'blues', u'blues rock', u'guitar', u'eric clapton', u'70s', u'acoustic', u'Layla', u'singer-songwriter', u'british', u'live', u'favorites', u'Unplugged', u'clapton', u'classic', u'80s', u'Awesome Guitar Jams', u'guitar virtuoso', u'oldies', u'pop', u'blues-rock', u'Love', u'Guitar Gods', u'favorite songs', u'90s', u'Guitar Hero', u'Awesome', u'Guitar Solo', u'60s', u'hard rock', u'male vocalists', u'slowhand', u'jazz', u'chill', u'epic', u'beautiful', u'Acoustic Rock', u'Favorite', u'names', u'legend', u'clapton is god', u'piano', u'soft rock', u'amazing', u'loved', u'cool', u'powerful', u'Favourite Songs', u'guitar god']"
24,Hotel California,1140414,6603351,390000,"[u'classic rock', u'rock', u'70s', u'Eagles', u'oldies', u'Hotel California', u'soft rock', u'classic', u'guitar', u'pop', u'favorites', u'Ballad', u'80s', u'easy listening', u'country rock', u'California', u'american', u'rock ballad', u'country', u'Southern Rock', u'Mellow', u'Favourites', u'acoustic', u'Awesome Guitar Jams', u'Guitar Solo', u'ballads', u'male vocalists', u'epic', u'chill', u'favorite songs', u'hard rock', u'beautiful', u'Love', u'relax', u'hotel', u'Awesome', u'classics', u'the eagles', u'chillout', u'male vocalist', u'legend', u'summer', u'pop rock', u'memories', u'Favorite', u'Favourite Songs', u'70s rock', u'60s', u'cool', u'live']"
25,Shelter from the Storm,304997,1445950,299000,"[u'folk', u'singer-songwriter', u'rock', u'classic rock', u'Bob Dylan', u'70s', u'folk rock', u'acoustic', u'Dylan', u'folk-rock', u'60s', u'blues', u'oldies', u'classic', u'blues rock', u'folkrock', u'favorites', u'beautiful', u'american', u'1975', u'songs that tell stories', u'singer-songwritergdchill', u'american i like', u'Love', u'guitar', u'poetry', u'pop', u'male vocalists', u'live', u'Favourites', u'alias', u'chillout', u'seen live', u'favorite songs', u'sad', u'songwriter', u'relaxing', u'male vocalist', u'singer songwriter', u'Ballad', u'rain', u'1970s', u'perfect', u'music', u'bob', u'absolutely amazing', u'critically acclaimed song', u'acclaimed music top 3000 bubbling under', u'shelter from the storm', u'ellias']"
26,Fakin It (feat. Ofelia K),12559,36588,0,[]
27,Locked Away,120097,686540,227000,[u'rock city']
28,Big in Japan - original,58373,229725,0,"[u'80s', u'synthpop', u'new wave', u'synth pop', u'melancholic', u'fiesta', u'Made In Germany', u'Modern Talking', u'reasons why i love 80s', u'uvita fiesta']"
29,You Oughta Know - 2015 Remastered,14911,35258,0,[]
30,Hearts Alive,117488,603682,820000,"[u'Progressive metal', u'epic', u'metal', u'i had to change my pants after this song', u'Sludge', u'metalcore', u'Progressive rock', u'alternative metal', u'Masterpiece', u'whalecore', u'sludge metal', u'post metal', u'this is how guitars are supposed to sound', u'experimental', u'intense', u'stoner metal', u'heavy metal', u'rock', u'alternative', u'hardcore', u'Progressive', u'trippy', u'post-hardcore', u'brilliant', u'colossal', u'Progressive Sludge Metal', u'Mastodon', u'Songs over 10 minutes long', u'brutal', u'hard rock', u'Stoner Rock', u'angry', u'insane', u'Extreme Metal', u'Legendary', u'riff', u'this is how guitars should be used', u'pretty fuckin metal', u'Oceancore', u'harmony as a violent sensation', u'seen live', u'pop', u'ambient', u'doom metal', u'quiet storm', u'kolla upp', u'beautiful', u'Awesome', u'guitar', u'bass']"
31,666 ʇ,73708,359863,252000,"[u'electronic', u'experimental', u'post pop', u'bon iver', u'666']"
32,Afraid of Everyone,300832,2726953,259000,"[u'indie rock', u'indie', u'alternative', u'rock', u'beautiful', u'lovedbyale', u'seen live', u'post-punk', u'haunting', u'Masterpiece', u'10s', u'american i like', u'2010', u'alternative rock', u'melancholic', u'male vocalists', u'best of 2010', u'sufjan stevens', u'Awesome', u'american', u'melancholy', u'emotional', u'reflection', u'love the lyrics', u'Post-punk revival', u'mpsvd-luisterpaal-j', u'vugube62', u'chill', u'sad', u'Mellow', u'great', u'Heartbreaking', u'gossip girl', u'Soundtrack Of My Life', u'indiena sound', u'cinder', u'post-rock', u'USA', u'favorites', u'london', u'Driving', u'Brooklyn', u'Like', u'Tense', u'post rock', u'great song', u'loved', u'male vocalist', u'4ad', u'great lyrics']"
33,Lonesome Bulldog,2018,5345,205000,"[u'somafm', u'Bagel']"
