,Songs,Listeners,Playcount,Duration,Tags
0,Arm Our Youth,766,3129,274000,"[u'Brutal Death Metal', u'slam death metal', u'NYDM', u'new york death metal']"
1,Hate Fuel,777,2991,275000,"[u'Brutal Death Metal', u'slam death metal', u'NYDM', u'new york death metal']"
2,Far Above You,828,3234,226000,"[u'Brutal Death Metal', u'slam death metal', u'NYDM', u'new york death metal']"
3,Infidel,898,3438,234000,"[u'Brutal Death Metal', u'slam death metal', u'NYDM', u'new york death metal']"
4,Siege In The Clouds,941,3565,217000,"[u'Brutal Death Metal', u'slam death metal', u'NYDM', u'new york death metal']"
5,Bleed By Example,1338,4770,201000,"[u'Brutal Death Metal', u'slam death metal', u'NYDM', u'new york death metal']"
6,World-Reaving Terror,222,591,245000,[]
7,The Hive Ablaze,248,617,224000,[]
8,Pestilential Reign,241,637,169000,[]
9,Time Has Come,38853,126105,240000,"[u'hard rock', u'rock', u'80s', u'europe-time has come', u'Europe', u'classic rock', u'80s rock', u'favorites', u'hair metal', u'great', u'glam', u'80', u'best', u'Favourites', u'love at first listen', u'Sweden', u'8 of 10 stars', u'9 of 10 stars', u'rock ballad', u'time', u'Focus', u'melodic hard rock', u'Pop Metal', u'swwg', u'my christmas of 99', u'just for you', u'Canciones10', u'gitara lubie ja', u'escola de hard rock']"
10,Cherokee,82628,331608,252000,"[u'hard rock', u'80s', u'rock', u'hair metal', u'Europe', u'classic rock', u'glam rock', u'swedish', u'80s metal', u'Cherokee', u'Glam Metal', u'80s rock', u'heavy metal', u'arena rock', u'Awesome', u'guitar', u'glam', u'yeah!', u'Hard-Rock', u'Pop Metal', u'80s hair metal', u'slgdmbestof', u'metal', u'classic', u'70s', u'epic', u'album rock', u'soft rock', u'90s', u'Avant-Garde', u'AOR', u'political', u'loved', u'heard on Pandora', u'male vocalists', u'rock n roll', u'00s', u'symphonic', u'1986', u'9 of 10 stars', u'80s Heavy Metal', u'4 Stars', u'10 of 10 stars', u'Favourite Songs', u'hair band', u'favs', u'5', u'sleaze', u'general rock', u'melodic hard rock']"
11,Ninja,37628,134623,227000,"[u'hard rock', u'80s', u'metal', u'Europe', u'Glam Metal', u'rock', u'classic rock', u'rock ballad', u'seen live', u'Power ballad', u'hair metal', u'glam', u'80', u'Ballad', u'J-rock', u'Sweden', u'9 of 10 stars', u'running', u'7 of 10 stars', u'battle', u'Guitar Solo', u'melodic hard rock', u'My Favourites', u'hairmetal', u'Pop Metal', u'Soft Metal', u'KICK', u'slgdmbestof', u'lol metal', u'hard rock hits', u'music I have or have to buy', u'La Renga', u'wasted timejt', u'SamiThaCoolOnes favourites', u'gitara lubie ja']"
12,Danger on the Track,45904,158367,225000,"[u'hard rock', u'rock', u'80s', u'Europe', u'hair metal', u'classic rock', u'metal', u'swedish', u'80s rock', u'euro trash', u'leapsandloved', u'leapsandloved2009', u'chillout', u'kitsch', u'AOR', u'glam', u'glam rock', u'Guilty Pleasures', u'Sweden', u'8 of 10 stars', u'melodic rock', u'10 of 10 stars', u'Glam Metal', u'Dangerous', u'melodic hard rock', u'80s metal', u'Pop Metal', u'Hot Rod', u'KICK', u'slgdmbestof', u'hairbands', u'hard-baladas-hard', u'danger on the track', u'my glam fav', u'schwarzerpanter', u'1980s Heavy Metal']"
13,His Divine Shadow,249,644,242000,[]
14,Nefarious Sanguine Decree,261,684,271000,[]
15,Ascending the Spectral Throne,273,682,213000,[]
16,Legion,302,768,222000,[]
17,Omniscient Perturbations,338,941,188000,[]
18,Dawn,358,875,227000,[]
19,Penumbræ,208,541,73000,[]
20,Epitaph Of The Credulous,11674,40162,224000,"[u'death metal', u'metal', u'death', u'Brutal Death Metal', u'brutal death', u'myk suffocation']"
21,Caught Between Two Worlds,624,1390,259000,[]
22,Some Things Should Be Left Alone,630,1420,203000,[]
23,...Of The Dark Light,650,1479,0,[]
24,The Violation,672,1530,221000,[]
25,Return to the Abyss,700,1612,0,[]
26,Your Last Breaths,1276,2595,276000,"[u'death metal', u'metal', u'Technical Death Metal']"
27,The Warmth Within The Dark,744,1704,219000,[]
28,Clarity Through Deprivation,801,1815,244000,[]
29,Walking Catastrophe,164,347,0,[]
30,Bag Of Bones,175,394,0,[]
31,World Gone Mad,622,1115,0,[]
32,A New Low,185,398,0,[]
33,Dead Speak Kindly,196,431,0,[]
34,A Place Where There's No More Pain,1160,2289,0,[]
35,Right This Wrong,221,472,0,[]
36,Meet My Maker,226,494,0,[]
37,Nazwe to Wszystko Twoim Imieniem,8,14,124000,[]
38,Wesoly,8,14,207000,[]
39,Z Szarych Mgiel Czarnych Cieni,8,15,192000,[]
40,Na kolana!,35,116,171000,[]
41,Psy w garniturach,37,119,155000,[]
42,Zdemoluj wszystko,46,153,182000,[]
43,The Warmth Within The Dark,744,1704,219000,[]
44,Clarity Through Deprivation,801,1815,244000,[]
45,Epitaph Of The Credulous,11674,40162,224000,"[u'death metal', u'metal', u'death', u'Brutal Death Metal', u'brutal death', u'myk suffocation']"
46,Caught Between Two Worlds,624,1390,259000,[]
47,Some Things Should Be Left Alone,630,1420,203000,[]
48,...Of The Dark Light,650,1479,0,[]
49,The Violation,672,1530,221000,[]
50,Return to the Abyss,700,1612,0,[]
51,Your Last Breaths,1276,2595,276000,"[u'death metal', u'metal', u'Technical Death Metal']"
52,The Warmth Within The Dark,744,1704,219000,[]
53,Clarity Through Deprivation,801,1815,244000,[]
54,Rock the Night,152423,691823,244000,"[u'hard rock', u'rock', u'80s', u'classic rock', u'Europe', u'hair metal', u'swedish', u'metal', u'Glam Metal', u'rock the night', u'guitar', u'My Favorites', u'heavy metal', u'male vocalists', u'melodic as hell', u'party', u'glam rock', u'80', u'Sweden', u'1980s', u'4 of 10 stars', u'true metal', u'beautiful voices', u'Play this loud enough to raise the dead', u'guitar solos', u'slgdmbestof', u'leapsandloved', u'hardrock oldskool', u'leapsandloved2009', u'Europe - Rock The Night', u'melodic heavy metal', u'seen live', u'heavy', u'favorites', u'arena rock', u'scandinavian', u'Awesome', u'night', u'Driving', u'Energetic', u'oldies', u'AOR', u'glam', u'band', u'heard on Pandora', u'1986', u'guitar virtuoso', u'Guitar Hero', u'best', u'Guilty Pleasures']"
55,The Final Countdown,680439,3202387,309000,"[u'80s', u'rock', u'hard rock', u'classic rock', u'Europe', u'hair metal', u'swedish', u'pop', u'epic', u'The Final Countdown', u'heavy metal', u'Glam Metal', u'Final Countdown', u'80s rock', u'classic', u'metal', u'oldies', u'glam rock', u'Arrested Development', u'nostalgia', u'1986', u'party', u'male vocalists', u'FUCKING AWESOME', u'GOB', u'glam', u""80's"", u'Favourites', u'cheese', u'Awesome', u'powerful', u'Pop Metal', u'favorites', u'pop rock', u'Love', u'guitar', u'synth rock', u'80s metal', u'gob bluth', u'favorite songs', u'scandinavian', u'relax', u'Sweden', u'Progressive rock', u'Retro', u'guilty pleasure', u'best song ever', u'Guilty Pleasures', u'hits', u'Love it']"
56,Violent Discipline,82,171,189000,[]
57,Love Chaser,32757,112266,208000,"[u'hard rock', u'hair metal', u'Europe', u'80s hair metal', u'80s rock', u'rock', u'80s', u'Love', u'glam', u'glam rock', u'good', u'80', u'Guilty Pleasures', u'Sweden', u'8 of 10 stars', u'melodic hard rock', u'80s metal', u'Pop Metal', u'80s goodness', u'love chaser', u'th82', u'bunbun', u'niektorzy nazywaja to ping pongiem']"
58,On The Loose,29187,93856,188000,"[u'hard rock', u'80s', u'Europe', u'swedish', u'rock', u'Technical Death Metal', u'classic rock', u'heavy metal', u'hair metal', u'Favorite Artists', u'glam', u'male vocalist', u'80', u'guitar virtuoso', u'english', u'Sweden', u'6 of 10 stars', u'Glam Metal', u'melodic hard rock', u'my favorite band', u'Pop Metal', u'wasted time', u'80s rock and hard-rock', u'fodastico', u'gitara lubie ja']"
