,Songs,Listeners,Playcount,Duration,Tags
0,Tsuki no Curse,8717,102750,0,"[u'loveless', u'anime', u'Soundtrack', u'j-pop', u'japanese', u'ost', u'female vocalists', u'anime ost', u'okina reika', u'japanese female vocalists', u'no', u'anime op', u'tsuki', u'Curse', u'pop', u'piano', u'JPop', u'I love this song', u'Themes', u'Japanese music', u'opening', u'favourite tracks', u'J-music', u'anisong', u'game songs', u'yaoi', u'j-stuff', u'more of that asian television']"
1,Purpurowe gody,14647,165631,317000,"[u'heavy metal', u'thrash metal', u'metal', u'black metal', u'polish', u'kat', u'oszkurwajapierdolecozatekst:D', u'fav', u'legend', u'kto nie zna ten gej', u'purpurowe gody', u'guitar', u'xxx', u'good shit', u'satanic', u'Ballad', u'best lyrics', u'NA', u'polskie', u'blackened thrash metal', u'best ever', u'blackened heavy metal', u'over 5 minutes long', u'great metal song', u'pure energy', u'polish thrash metal', u'dobre', u'bzium', u'muahahahaha', u'sie', u'Roze', u'kotow kat ma oczy zielone', u'song that makes me rage', u'grobach', u'milosci', u'najchetniej', u'przyjmuja', u'gody', u'purpurowe', u'heavy metal metal polish black metal', u'spotyfly']"
2,Anthem,143267,1092914,290000,"[u'metalcore', u'deathcore', u'metal', u'hardcore', u'experimental', u'alternative metal', u'screamo', u'death metal', u'bring me the horizon', u'Melodic Death Metal', u'post-hardcore', u'anthem', u'UK', u'intensive', u'british', u'alternative rock', u'Love', u'funk', u'Awesome', u'wtf', u'addictive', u'FUCKING AWESOME', u'phone call', u'orgasm', u'absolute love', u'chill906', u'Bring me', u'good songs to get', u'lovedbyme1', u'I love BMTH']"
3,Horizon,15294,186681,246000,"[u'visual kei', u'jrock', u'J-rock', u'DespairsRay', u'japanese', u'Favourite Songs', u""d'espairsray"", u'favorites', u'Awesome', u'amazing', u'industrial metal', u'im addicted to', u'<3', u'wanna see live again', u'JMetalandRock', u'heard live', u'horizon', u'puts me in a good mood', u'despairs ray', u'3star', u'japanilevyraati', u'road trip song']"
4,Murdertrain a Comin',37693,248464,213000,"[u'death metal', u'Melodic Death Metal', u'blacker than the blackest black times infinity', u'death blues', u'metal', u'blues', u'blues metal', u'heavy metal', u'FUCKING AWESOME', u'Brutal Death Metal', u'Metalocalypse', u'Soundtrack', u'melodic', u'death', u'waltz', u'american', u'ninja tune', u'comedy', u'Elephant 6', u'blues rock', u'funny', u'parody', u'darkness', u'essentials', u'duets', u'fall', u'fucking amazing', u'psycho metal', u'prepare a skin graft from my ass because this song just melted my face off', u'Mashed Potato Time', u'the most metal thing i have ever heard in my whole life', u'Planet X', u'jackhammer', u'death metal blues', u'PSYCHO METAL 4 LIFE', u'Psycho Metal Tag Radio', u'PsychoMetal4Life', u'black humour metal', u'talkin bout']"
5,Somebody to Love,60616,227448,152000,"[u'cover', u'punk', u'punk rock', u'rock', u'jefferson airplane cover', u'covers', u'classic rock', u'Ramones', u'jefferson airplane', u'70s', u'90s', u'out of genre covers', u'favorite tracks', u'cover song', u'makes me want to dance', u'Everything i need', u'seen live', u'indie', u'alternative', u'american', u'party', u'love songs', u'cover songs', u'8 of 10 stars', u'Remakes', u'FUCKING AWESOME', u'2', u'1994', u'sing-a-long', u'better than the original', u'childhood association', u'best songs ever', u'punk covers', u'festival', u'My Favorites', u'loved tracks', u'good cover', u'Classic Punk', u'Party Mix', u'Version', u'cover project', u'Somebody to Love', u'misssoftserve cover', u'misssoftserve punk', u'agent orange', u'tnphp cover songs', u'buryblue', u'songs that make me feel happy', u'psycodelic punk']"
6,Victim,104458,917589,450000,"[u'metal', u'hard rock', u'heavy metal', u'metalcore', u'AVENGED SEVENFOLD', u'rock', u'beautiful', u'sad', u'amazing', u'I could listen to this song forever', u'punk', u'alternative', u'alternative rock', u'sexy', u'memories', u'Awesome', u'male vocalists', u'songs that make me cry', u'beautiful melodies', u'A7X', u'ear sex', u'Victim', u'seen live', u'favorite songs', u'Progressive rock', u'favorites', u'guitar', u'american', u'poetry', u'alternative metal', u'Pink Floyd', u'loved', u'play this at my funeral', u'5 Stars', u'3 stars', u'<3', u'forever', u'sadness', u'depressive', u'Favourite Band', u'special', u'nightmare', u'genial', u'simply awesome', u'songs that you wanna listen to over and over again', u'songs to hear before you die', u'the kind of song that sends shivers up your spine when you sing along to it', u'beautiful and tragic things', u'miss you Jimmy', u'raped by naked men with rubber boots']"
7,Last of Days,90272,482752,253000,"[u'female vocalists', u'indie', u'singer-songwriter', u'piano', u'alternative', u'acoustic', u'beautiful', u'pop', u'A Fine Frenzy', u'Mellow', u'melancholy', u'chill', u'Love', u'american', u'soft', u'00s', u'lovely', u'poprock', u'Driving Songs', u'songs I absolutely love', u'last of days', u'chillout', u'vocal', u'female', u'favorite songs', u'indie pop', u'easy listening', u'soft rock', u'romantic', u'atmospheric', u'unique', u'melancholic', u'Bittersweet', u'relaxing', u'sitar', u'female vocals', u'good', u'alternative pop', u'Favorite', u'fav', u'best', u'check out', u'mod', u'i miss you', u'Chilled Out', u'Love it', u'radio paradise', u'radioparadise', u'female singer-songwriter', u'feelgood']"
8,FUCTRACK #6,3990,20018,205000,"[u'J-rock', u'lol', u'fucs x3', u'japanese', u'japan', u'hot', u'visual kei', u'jrock', u'hide', u'stripper music', u'Recent Stuff', u'j-rock in english', u'fuckfuckuckfuckfuckfguckfcuk']"
9,Anaru Whiskey Ponce [Re-Recorded],12271,64978,0,"[u'J-rock', u'japanese', u'hardcore', u'alternative metal', u'J-music', u'maximum the hormone', u'Rokkinpo Goroshi']"
